종목명,variable,value
CS홀딩스,유사종목_3,KPX홀딩스
CS홀딩스,유사종목_4,농심홀딩스
CS홀딩스,유사종목_5,신영와코루
DB,유사종목_1,알비더블유
DB,유사종목_2,빅텍
DB,유사종목_3,파루
DB,유사종목_4,크로바하이텍
DB,유사종목_5,성문전자
DB금융스팩10호,유사종목_1,신한제8호스팩
DB금융스팩10호,유사종목_2,한국제11호스팩
DB금융스팩10호,유사종목_3,한화플러스제3호스팩
DB금융스팩10호,유사종목_4,유진스팩7호
DB금융스팩10호,유사종목_5,삼성머스트스팩5호
DB금융스팩8호,유사종목_1,솔루스첨단소재2우B
DB금융스팩8호,유사종목_2,SK네트웍스우
DB금융스팩8호,유사종목_3,IBKS제17호스팩
DB금융스팩8호,유사종목_4,한양증권우
DB금융스팩8호,유사종목_5,유안타증권우
DB금융스팩9호,유사종목_1,유진스팩8호
DB금융스팩9호,유사종목_2,삼성스팩6호
DB금융스팩9호,유사종목_3,케이비제21호스팩
DB금융스팩9호,유사종목_4,한화플러스제2호스팩
DB금융스팩9호,유사종목_5,유안타제10호스팩
DB금융투자,유사종목_1,메리츠금융지주
DB금융투자,유사종목_2,메리츠증권
DB금융투자,유사종목_3,유안타증권
DB금융투자,유사종목_4,동양생명
DB금융투자,유사종목_5,현대차증권
DB손해보험,유사종목_1,삼성화재
DB손해보험,유사종목_2,한화손해보험
DB손해보험,유사종목_3,현대해상
DB손해보험,유사종목_4,푸른저축은행
DB손해보험,유사종목_5,삼성생명
DB하이텍,유사종목_1,바텍
DB하이텍,유사종목_2,이라이콤
DB하이텍,유사종목_3,동아엘텍
DB하이텍,유사종목_4,테이팩스
DB하이텍,유사종목_5,자화전자
DB하이텍1우,유사종목_1,솔루스첨단소재2우B
DB하이텍1우,유사종목_2,SK네트웍스우
DB하이텍1우,유사종목_3,IBKS제17호스팩
DB하이텍1우,유사종목_4,한양증권우
DB하이텍1우,유사종목_5,유안타증권우
DGB금융지주,유사종목_1,기업은행
DGB금융지주,유사종목_2,우리금융지주
DGB금융지주,유사종목_3,BNK금융지주
DGB금융지주,유사종목_4,하나금융지주
DGB금융지주,유사종목_5,제주은행
DH오토웨어,유사종목_1,마니커
DH오토웨어,유사종목_2,대한전선
DH오토웨어,유사종목_3,에스코넥
DH오토웨어,유사종목_4,서울식품
DH오토웨어,유사종목_5,뉴인텍
DI동일,유사종목_1,DL
DI동일,유사종목_2,서울가스
DI동일,유사종목_3,CJ ENM
DI동일,유사종목_4,한국조선해양
DI동일,유사종목_5,이마트
DL,유사종목_1,DI동일
DL,유사종목_2,한국조선해양
DL,유사종목_3,영원무역홀딩스
DL,유사종목_4,서울가스
DL,유사종목_5,CJ ENM
DL건설,유사종목_1,유신
DL건설,유사종목_2,LIG넥스원
DL건설,유사종목_3,에코프로
DL건설,유사종목_4,에스엘
DL건설,유사종목_5,현대엘리베이
DL우,유사종목_1,솔루스첨단소재2우B
DL우,유사종목_2,SK네트웍스우
DL우,유사종목_3,IBKS제17호스팩
DL우,유사종목_4,한양증권우
DL우,유사종목_5,유안타증권우
DL이앤씨,유사종목_1,KCC
DL이앤씨,유사종목_2,BYC
DL이앤씨,유사종목_3,POSCO홀딩스
DL이앤씨,유사종목_4,아세아
DL이앤씨,유사종목_5,신세계
DL이앤씨2우(전환),유사종목_1,솔루스첨단소재2우B
DL이앤씨2우(전환),유사종목_2,SK네트웍스우
DL이앤씨2우(전환),유사종목_3,IBKS제17호스팩
DL이앤씨2우(전환),유사종목_4,한양증권우
DL이앤씨2우(전환),유사종목_5,유안타증권우
DL이앤씨우,유사종목_1,솔루스첨단소재2우B
DL이앤씨우,유사종목_2,SK네트웍스우
DL이앤씨우,유사종목_3,IBKS제17호스팩
DL이앤씨우,유사종목_4,한양증권우
DL이앤씨우,유사종목_5,유안타증권우
DMS,유사종목_1,아바코
DMS,유사종목_2,텔레칩스
DMS,유사종목_3,아이씨디
DMS,유사종목_4,유성티엔에스
DMS,유사종목_5,현대에이치티
DN오토모티브,유사종목_1,SGC에너지
DN오토모티브,유사종목_2,다우기술
DN오토모티브,유사종목_3,신세계인터내셔날
DN오토모티브,유사종목_4,대한방직
DN오토모티브,유사종목_5,대창단조
DRB동일,유사종목_1,승일
DRB동일,유사종목_2,LF
DRB동일,유사종목_3,오리온
DRB동일,유사종목_4,중앙에너비스
DRB동일,유사종목_5,한국기업평가
DSC인베스트먼트,유사종목_1,한국자산신탁
DSC인베스트먼트,유사종목_2,신한제9호스팩
DSC인베스트먼트,유사종목_3,유화증권
DSC인베스트먼트,유사종목_4,미래에셋비전스팩1호
DSC인베스트먼트,유사종목_5,엠벤처투자
DSR,유사종목_1,대원제약
DSR,유사종목_2,휴온스
DSR,유사종목_3,신송홀딩스
DSR,유사종목_4,삼현철강
DSR,유사종목_5,현대에버다임
DSR제강,유사종목_1,KH바텍
DSR제강,유사종목_2,동국산업
DSR제강,유사종목_3,휴온스
DSR제강,유사종목_4,한미사이언스
DSR제강,유사종목_5,신흥
DXVX,유사종목_1,내츄럴엔도텍
DXVX,유사종목_2,레이저쎌
DXVX,유사종목_3,텔콘RF제약
DXVX,유사종목_4,큐로컴
DXVX,유사종목_5,중앙디앤엠
E1,유사종목_1,SK가스
E1,유사종목_2,동원F&B
E1,유사종목_3,SK이노베이션
E1,유사종목_4,이마트
E1,유사종목_5,한화
EDGC,유사종목_1,에쎈테크
EDGC,유사종목_2,우리기술
EDGC,유사종목_3,에이트원
EDGC,유사종목_4,아이엘사이언스
EDGC,유사종목_5,나인테크
EG,유사종목_1,한국컴퓨터
EG,유사종목_2,에쓰씨엔지니어링
EG,유사종목_3,대림통상
EG,유사종목_4,나라엠앤디
EG,유사종목_5,특수건설
ESR켄달스퀘어리츠,유사종목_1,디앤디플랫폼리츠
ESR켄달스퀘어리츠,유사종목_2,미래에셋글로벌리츠
ESR켄달스퀘어리츠,유사종목_3,산돌
ESR켄달스퀘어리츠,유사종목_4,지아이텍
ESR켄달스퀘어리츠,유사종목_5,하이딥
ES큐브,유사종목_1,잉크테크
ES큐브,유사종목_2,경남제약
ES큐브,유사종목_3,삼익악기
ES큐브,유사종목_4,멕아이씨에스
ES큐브,유사종목_5,메가엠디
F&F,유사종목_1,삼화전기
F&F,유사종목_2,세코닉스
F&F,유사종목_3,가온미디어
F&F,유사종목_4,제일약품
F&F,유사종목_5,화신
F&F홀딩스,유사종목_1,하이브
F&F홀딩스,유사종목_2,잇츠한불
F&F홀딩스,유사종목_3,인포바인
F&F홀딩스,유사종목_4,대구백화점
F&F홀딩스,유사종목_5,대양전기공업
FSN,유사종목_1,콤텍시스템
FSN,유사종목_2,웅진씽크빅
FSN,유사종목_3,웰바이오텍
FSN,유사종목_4,성문전자
FSN,유사종목_5,성호전자
GH신소재,유사종목_1,위더스제약
GH신소재,유사종목_2,코렌텍
GH신소재,유사종목_3,대한광통신
GH신소재,유사종목_4,KEC
GH신소재,유사종목_5,옴니시스템
GKL,유사종목_1,미래산업
GKL,유사종목_2,HLB글로벌
GKL,유사종목_3,브이원텍
GKL,유사종목_4,성우테크론
GKL,유사종목_5,아진엑스텍
GRT,유사종목_1,골든센츄리
GRT,유사종목_2,윙입푸드
GRT,유사종목_3,오가닉티코스메틱
GRT,유사종목_4,크리스탈신소재
