종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5350","20","0.38","250499278250"
"006840","AK홀딩스","KOSPI","기타금융","17410","-320","-1.80","230640037010"
"027410","BGF","KOSPI","기타금융","4485","-60","-1.32","429289807635"
"282330","BGF리테일","KOSPI","유통업","182000","1100","0.61","3145670892000"
"138930","BNK금융지주","KOSPI","기타금융","6590","-20","-0.30","2147913271140"
"001460","BYC","KOSPI","섬유의복","557000","-1000","-0.18","347910555000"
"001465","BYC우","KOSPI","섬유의복","172800","100","0.06","37218528000"
"001040","CJ","KOSPI","기타금융","91100","200","0.22","2658024517800"
"079160","CJ CGV","KOSPI","서비스업","16880","-110","-0.65","805593931920"
"00104K","CJ4우(전환)","KOSPI","기타금융","76900","-100","-0.13","325018772800"
"000120","CJ대한통운","KOSPI","운수창고업","82200","-200","-0.24","1875174676800"
"011150","CJ씨푸드","KOSPI","음식료품","3385","-15","-0.44","121625666605"
"011155","CJ씨푸드1우","KOSPI","음식료품","25950","-300","-1.14","5190000000"
"001045","CJ우","KOSPI","기타금융","50600","-400","-0.78","114367283800"
"097950","CJ제일제당","KOSPI","음식료품","325500","5000","1.56","4900137543000"
"097955","CJ제일제당 우","KOSPI","음식료품","159100","400","0.25","211194590300"
"000590","CS홀딩스","KOSPI","기타금융","64700","-500","-0.77","74694985400"
"012030","DB","KOSPI","서비스업","1410","-54","-3.69","283655245530"
"016610","DB금융투자","KOSPI","증권","4125","-25","-0.60","175091354625"
"005830","DB손해보험","KOSPI","보험","74400","-900","-1.20","5267520000000"
"000990","DB하이텍","KOSPI","전기전자","45200","-1100","-2.38","2006816177600"
"000995","DB하이텍1우","KOSPI","전기전자","91800","-900","-0.97","10310608800"
"139130","DGB금융지주","KOSPI","기타금융","7820","60","0.77","1322720414060"
"001530","DI동일","KOSPI","유통업","21200","-700","-3.20","542047324000"
"000210","DL","KOSPI","기타금융","56600","-400","-0.70","1186103034400"
"001880","DL건설","KOSPI","건설업","14840","-50","-0.34","327270734560"
"000215","DL우","KOSPI","기타금융","32700","0","0.00","55135960500"
"375500","DL이앤씨","KOSPI","건설업","33050","250","0.76","1278824240150"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","23600","100","0.43","49842043600"
"37550K","DL이앤씨우","KOSPI","건설업","21100","-100","-0.47","44602973500"
"007340","DN오토모티브","KOSPI","전기전자","74200","1600","2.20","741555171000"
"004840","DRB동일","KOSPI","화학","4700","40","0.86","93671000000"
"155660","DSR","KOSPI","철강금속","5920","-70","-1.17","94720000000"
"069730","DSR제강","KOSPI","철강금속","6080","-50","-0.82","87552000000"
"017940","E1","KOSPI","유통업","48750","-200","-0.41","334425000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","3890","-55","-1.39","828916210000"
"383220","F&F","KOSPI","섬유의복","140000","-4000","-2.78","5362990500000"
"007700","F&F홀딩스","KOSPI","기타금융","25350","-450","-1.74","991549203450"
"114090","GKL","KOSPI","서비스업","19340","-1160","-5.66","1196288657800"
"078930","GS","KOSPI","기타금융","40750","50","0.12","3786301653500"
"006360","GS건설","KOSPI","건설업","22600","200","0.89","1934141674000"
"001250","GS글로벌","KOSPI","유통업","2545","90","3.67","210048429380"
"007070","GS리테일","KOSPI","유통업","28750","300","1.05","3010640257500"
"078935","GS우","KOSPI","기타금융","35050","50","0.14","62558151300"
