종목명,variable,value
DB하이텍,유사종목_2,제일파마홀딩스
DB하이텍,유사종목_3,피에스케이
DB하이텍,유사종목_4,지앤비에스엔지니어링
DB하이텍,유사종목_5,미래컴퍼니
DGB금융지주,유사종목_1,신한지주
DGB금융지주,유사종목_2,NH투자증권
DGB금융지주,유사종목_3,KB금융
DGB금융지주,유사종목_4,하나금융지주
DGB금융지주,유사종목_5,기업은행
DH오토웨어,유사종목_1,동원금속
DH오토웨어,유사종목_2,대신정보통신
DH오토웨어,유사종목_3,평화산업
DH오토웨어,유사종목_4,대유에이텍
DH오토웨어,유사종목_5,KG스틸
DI동일,유사종목_1,대웅제약
DI동일,유사종목_2,세아베스틸지주
DI동일,유사종목_3,KPX케미칼
DI동일,유사종목_4,예스코홀딩스
DI동일,유사종목_5,조흥
DL,유사종목_1,인탑스
DL,유사종목_2,삼성전기
DL,유사종목_3,SKC
DL,유사종목_4,한화에어로스페이스
DL,유사종목_5,대성홀딩스
DL건설,유사종목_1,한양이엔지
DL건설,유사종목_2,LIG넥스원
DL건설,유사종목_3,종근당
DL건설,유사종목_4,에스텍
DL건설,유사종목_5,세아제강
DL이앤씨,유사종목_1,씨앤투스
DL이앤씨,유사종목_2,실리콘투
DL이앤씨,유사종목_3,윈텍
DL이앤씨,유사종목_4,CBI
DL이앤씨,유사종목_5,원방테크
DMS,유사종목_1,비엠티
DMS,유사종목_2,스틱인베스트먼트
DMS,유사종목_3,디케이앤디
DMS,유사종목_4,아비코전자
DMS,유사종목_5,라이온켐텍
DN오토모티브,유사종목_1,한미글로벌
DN오토모티브,유사종목_2,국보디자인
DN오토모티브,유사종목_3,에스티아이
DN오토모티브,유사종목_4,경동나비엔
DN오토모티브,유사종목_5,삼양식품
DRB동일,유사종목_1,대교
DRB동일,유사종목_2,롯데지주
DRB동일,유사종목_3,삼성물산
DRB동일,유사종목_4,현대제철
DRB동일,유사종목_5,휴스틸
DSC인베스트먼트,유사종목_1,이스트아시아홀딩스
DSC인베스트먼트,유사종목_2,컬러레이
DSC인베스트먼트,유사종목_3,미투젠
DSC인베스트먼트,유사종목_4,골든센츄리
DSC인베스트먼트,유사종목_5,크리스탈신소재
DSR,유사종목_1,와이솔
DSR,유사종목_2,HDC현대산업개발
DSR,유사종목_3,동우팜투테이블
DSR,유사종목_4,동구바이오제약
DSR,유사종목_5,삼호개발
DSR제강,유사종목_1,일양약품
DSR제강,유사종목_2,아이즈비전
DSR제강,유사종목_3,하츠
DSR제강,유사종목_4,삼양홀딩스
DSR제강,유사종목_5,부국철강
DXVX,유사종목_1,내츄럴엔도텍
DXVX,유사종목_2,엑서지21
DXVX,유사종목_3,에스티큐브
DXVX,유사종목_4,티앤알바이오팹
DXVX,유사종목_5,마이크로디지탈
E1,유사종목_1,SGC이테크건설
E1,유사종목_2,한샘
E1,유사종목_3,S-Oil
E1,유사종목_4,한세예스24홀딩스
E1,유사종목_5,세보엠이씨
EDGC,유사종목_1,네오리진
EDGC,유사종목_2,에프앤리퍼블릭
EDGC,유사종목_3,광무
EDGC,유사종목_4,KD
EDGC,유사종목_5,아이엘사이언스
EG,유사종목_1,네패스
EG,유사종목_2,삼일제약
EG,유사종목_3,현대로템
EG,유사종목_4,로지시스
EG,유사종목_5,코맥스
ESR켄달스퀘어리츠,유사종목_1,케어랩스
ESR켄달스퀘어리츠,유사종목_2,서부T&D
ESR켄달스퀘어리츠,유사종목_3,하나금융23호스팩
ESR켄달스퀘어리츠,유사종목_4,신한서부티엔디리츠
ESR켄달스퀘어리츠,유사종목_5,롯데리츠
ES큐브,유사종목_1,램테크놀러지
ES큐브,유사종목_2,팬스타엔터프라이즈
ES큐브,유사종목_3,기가레인
ES큐브,유사종목_4,셀피글로벌
ES큐브,유사종목_5,유진로봇
F&F,유사종목_1,오스템임플란트
F&F,유사종목_2,동원수산
F&F,유사종목_3,사조대림
F&F,유사종목_4,에코프로비엠
F&F,유사종목_5,대동
F&F홀딩스,유사종목_1,롯데렌탈
F&F홀딩스,유사종목_2,APS홀딩스
F&F홀딩스,유사종목_3,카나리아바이오
F&F홀딩스,유사종목_4,솔브레인홀딩스
F&F홀딩스,유사종목_5,쌍방울
FSN,유사종목_1,모코엠시스
FSN,유사종목_2,율호
FSN,유사종목_3,오토앤
FSN,유사종목_4,콤텍시스템
FSN,유사종목_5,영흥
GH신소재,유사종목_1,다날
GH신소재,유사종목_2,오르비텍
GH신소재,유사종목_3,대아티아이
GH신소재,유사종목_4,신화콘텍
GH신소재,유사종목_5,에이치케이
GKL,유사종목_1,RF머트리얼즈
GKL,유사종목_2,미래산업
GKL,유사종목_3,아미코젠
GKL,유사종목_4,유엔젤
GKL,유사종목_5,홈캐스트
GRT,유사종목_1,윙입푸드
GRT,유사종목_2,골든센츄리
GRT,유사종목_3,오가닉티코스메틱
GRT,유사종목_4,JTC
GRT,유사종목_5,헝셩그룹
GS,유사종목_1,금비
GS,유사종목_2,3S
GS,유사종목_3,에스에프에이
GS,유사종목_4,엘비루셈
GS,유사종목_5,케이엠
GST,유사종목_1,LG생활건강
GST,유사종목_2,삼화콘덴서
GST,유사종목_3,동국제약
GST,유사종목_4,이녹스첨단소재
GST,유사종목_5,샘표식품
GS건설,유사종목_1,LS
GS건설,유사종목_2,광동제약
GS건설,유사종목_3,파트론
GS건설,유사종목_4,크라운해태홀딩스
GS건설,유사종목_5,대한제당
GS글로벌,유사종목_1,한솔로지스틱스
GS글로벌,유사종목_2,케이카
GS글로벌,유사종목_3,에코플라스틱
GS글로벌,유사종목_4,CJ프레시웨이
GS글로벌,유사종목_5,서진오토모티브
GS리테일,유사종목_1,대상홀딩스
GS리테일,유사종목_2,대상
GS리테일,유사종목_3,한신공영
GS리테일,유사종목_4,남해화학
GS리테일,유사종목_5,SK가스
HB솔루션,유사종목_1,해성산업
HB솔루션,유사종목_2,노바텍
HB솔루션,유사종목_3,파크시스템스
HB솔루션,유사종목_4,JYP Ent.
HB솔루션,유사종목_5,이루다
HB테크놀러지,유사종목_1,누리플렉스
HB테크놀러지,유사종목_2,유에스티
HB테크놀러지,유사종목_3,디지털대성
HB테크놀러지,유사종목_4,나이스디앤비
HB테크놀러지,유사종목_5,코미코
HDC,유사종목_1,에이텍
HDC,유사종목_2,아모레퍼시픽
HDC,유사종목_3,뷰웍스
HDC,유사종목_4,동화기업
HDC,유사종목_5,고려아연
HDC랩스,유사종목_1,아세아제지
HDC랩스,유사종목_2,유니드
HDC랩스,유사종목_3,삼양홀딩스
HDC랩스,유사종목_4,동방아그로
HDC랩스,유사종목_5,아이에스동서
HDC현대EP,유사종목_1,한솔제지
HDC현대EP,유사종목_2,매일홀딩스
HDC현대EP,유사종목_3,현대리바트
HDC현대EP,유사종목_4,제이에스코퍼레이션
HDC현대EP,유사종목_5,애경케미칼
HDC현대산업개발,유사종목_1,와이솔
HDC현대산업개발,유사종목_2,LG화학
HDC현대산업개발,유사종목_3,DSR
HDC현대산업개발,유사종목_4,LG에너지솔루션
HDC현대산업개발,유사종목_5,이엠텍
HD현대,유사종목_1,SK디스커버리
HD현대,유사종목_2,유신
HD현대,유사종목_3,CJ
HD현대,유사종목_4,롯데정보통신
HD현대,유사종목_5,동양이엔피
HJ중공업,유사종목_1,삼기
HJ중공업,유사종목_2,이수페타시스
HJ중공업,유사종목_3,한전산업
HJ중공업,유사종목_4,KC코트렐
HJ중공업,유사종목_5,정원엔시스
HK이노엔,유사종목_1,삼성SDI
HK이노엔,유사종목_2,유성기업
HK이노엔,유사종목_3,풍국주정
HK이노엔,유사종목_4,SG세계물산
HK이노엔,유사종목_5,아즈텍WB
HL D&I,유사종목_1,국보
HL D&I,유사종목_2,화승코퍼레이션
HL D&I,유사종목_3,LS전선아시아
HL D&I,유사종목_4,한세실업
HL D&I,유사종목_5,오파스넷
HLB,유사종목_1,네이블
HLB,유사종목_2,바이오다인
HLB,유사종목_3,씨이랩
HLB,유사종목_4,나노씨엠에스
HLB,유사종목_5,바이오솔루션
HLB글로벌,유사종목_1,휴니드
HLB글로벌,유사종목_2,KPX생명과학
HLB글로벌,유사종목_3,파라다이스
HLB글로벌,유사종목_4,해성티피씨
HLB글로벌,유사종목_5,에스티팜
HLB생명과학,유사종목_1,제테마
HLB생명과학,유사종목_2,티사이언티픽
HLB생명과학,유사종목_3,나이벡
HLB생명과학,유사종목_4,에이팩트
HLB생명과학,유사종목_5,파나케이아
HLB제약,유사종목_1,코디
HLB제약,유사종목_2,일승
HLB제약,유사종목_3,래몽래인
HLB제약,유사종목_4,파루
HLB제약,유사종목_5,멕아이씨에스
HLB테라퓨틱스,유사종목_1,스카이문스테크놀로지
HLB테라퓨틱스,유사종목_2,아이오케이
HLB테라퓨틱스,유사종목_3,엔피
HLB테라퓨틱스,유사종목_4,하이드로리튬
HLB테라퓨틱스,유사종목_5,코아스템켐온
HL만도,유사종목_1,가온전선
HL만도,유사종목_2,LG이노텍
HL만도,유사종목_3,경남스틸
HL만도,유사종목_4,제일약품
HL만도,유사종목_5,알피바이오
HL홀딩스,유사종목_1,원풍
HL홀딩스,유사종목_2,현대홈쇼핑
HL홀딩스,유사종목_3,세방
HL홀딩스,유사종목_4,한국콜마홀딩스
HL홀딩스,유사종목_5,조선내화
HMM,유사종목_1,이랜시스
HMM,유사종목_2,정다운
HMM,유사종목_3,SCI평가정보
HMM,유사종목_4,웅진씽크빅
HMM,유사종목_5,매커스
HPSP,유사종목_1,바이오플러스
HPSP,유사종목_2,씨젠
HPSP,유사종목_3,아프리카TV
HPSP,유사종목_4,랩지노믹스
HPSP,유사종목_5,에코마케팅
HRS,유사종목_1,제이브이엠
HRS,유사종목_2,하나제약
HRS,유사종목_3,디엔에프
HRS,유사종목_4,드림씨아이에스
HRS,유사종목_5,케이씨텍
HSD엔진,유사종목_1,금호타이어
HSD엔진,유사종목_2,STX엔진
HSD엔진,유사종목_3,휴맥스
HSD엔진,유사종목_4,지투알
HSD엔진,유사종목_5,신화인터텍
IBKS제18호스팩,유사종목_1,베스파
IBKS제18호스팩,유사종목_2,비스토스
IBKS제18호스팩,유사종목_3,라이콤
IBKS제18호스팩,유사종목_4,코닉오토메이션
IBKS제18호스팩,유사종목_5,스마트솔루션즈
IBKS제19호스팩,유사종목_1,교보12호스팩
IBKS제19호스팩,유사종목_2,교보13호스팩
IBKS제19호스팩,유사종목_3,키움제7호스팩
IBKS제19호스팩,유사종목_4,교보11호스팩
IBKS제19호스팩,유사종목_5,케이비제22호스팩
IBKS제20호스팩,유사종목_1,신한제10호스팩
IBKS제20호스팩,유사종목_2,교보13호스팩
IBKS제20호스팩,유사종목_3,키움제7호스팩
IBKS제20호스팩,유사종목_4,유진스팩6호
IBKS제20호스팩,유사종목_5,삼성스팩6호
IBKS제21호스팩,유사종목_1,유진스팩8호
IBKS제21호스팩,유사종목_2,유안타제9호스팩
IBKS제21호스팩,유사종목_3,삼성스팩6호
IBKS제21호스팩,유사종목_4,삼성머스트스팩5호
IBKS제21호스팩,유사종목_5,IBKS제20호스팩
IHQ,유사종목_1,케이사인
IHQ,유사종목_2,모두투어리츠
IHQ,유사종목_3,신한서부티엔디리츠
IHQ,유사종목_4,롯데리츠
IHQ,유사종목_5,에이프로젠바이오로직스
ISC,유사종목_1,네오위즈
ISC,유사종목_2,KT&G
ISC,유사종목_3,현대코퍼레이션홀딩스
ISC,유사종목_4,빅솔론
ISC,유사종목_5,비비씨
ITX-AI,유사종목_1,지티지웰니스
ITX-AI,유사종목_2,피피아이
ITX-AI,유사종목_3,퍼스텍
ITX-AI,유사종목_4,자비스
ITX-AI,유사종목_5,티에스넥스젠
JB금융지주,유사종목_1,KB금융
JB금융지주,유사종목_2,신한지주
JB금융지주,유사종목_3,NH투자증권
JB금융지주,유사종목_4,하나금융지주
JB금융지주,유사종목_5,DGB금융지주
JTC,유사종목_1,에어부산
JTC,유사종목_2,삼성스팩4호
JTC,유사종목_3,한화플러스제2호스팩
JTC,유사종목_4,유진스팩6호
JTC,유사종목_5,교보11호스팩
JW생명과학,유사종목_1,SHD
JW생명과학,유사종목_2,현대건설
JW생명과학,유사종목_3,롯데하이마트
JW생명과학,유사종목_4,두산
JW생명과학,유사종목_5,현대비앤지스틸
JW신약,유사종목_1,동운아나텍
JW신약,유사종목_2,나무기술
JW신약,유사종목_3,에이엔피
JW신약,유사종목_4,이원컴포텍
JW신약,유사종목_5,대우부품
JW중외제약,유사종목_1,서연탑메탈
JW중외제약,유사종목_2,상신브레이크
JW중외제약,유사종목_3,아이티아이즈
JW중외제약,유사종목_4,코스모화학
JW중외제약,유사종목_5,링네트
JW홀딩스,유사종목_1,STX엔진
JW홀딩스,유사종목_2,아모센스
JW홀딩스,유사종목_3,알에스오토메이션
JW홀딩스,유사종목_4,금호타이어
JW홀딩스,유사종목_5,서울바이오시스
JYP Ent.,유사종목_1,파크시스템스
JYP Ent.,유사종목_2,하나머티리얼즈
JYP Ent.,유사종목_3,노바텍
JYP Ent.,유사종목_4,바텍
JYP Ent.,유사종목_5,티에스이
KBG,유사종목_1,고영
KBG,유사종목_2,서호전기
KBG,유사종목_3,파이오링크
KBG,유사종목_4,원익머트리얼즈
KBG,유사종목_5,폴라리스우노
KBI메탈,유사종목_1,유니트론텍
KBI메탈,유사종목_2,오텍
KBI메탈,유사종목_3,솔루엠
KBI메탈,유사종목_4,호텔신라
KBI메탈,유사종목_5,엠에스오토텍
KB금융,유사종목_1,신한지주
KB금융,유사종목_2,하나금융지주
KB금융,유사종목_3,NH투자증권
KB금융,유사종목_4,DGB금융지주
KB금융,유사종목_5,JB금융지주
KB스타리츠,유사종목_1,유안타제13호스팩
KB스타리츠,유사종목_2,미래에셋비전스팩2호
KB스타리츠,유사종목_3,삼성스팩8호
KB스타리츠,유사종목_4,네오이뮨텍
KB스타리츠,유사종목_5,프레스티지바이오파마
KB오토시스,유사종목_1,삼익THK
KB오토시스,유사종목_2,동구바이오제약
KB오토시스,유사종목_3,이건산업
KB오토시스,유사종목_4,삼호개발
KB오토시스,유사종목_5,PN풍년
KCC,유사종목_1,SG세계물산
KCC,유사종목_2,HK이노엔
KCC,유사종목_3,유성기업
KCC,유사종목_4,아세아시멘트
KCC,유사종목_5,삼성SDI
KCC건설,유사종목_1,알피바이오
KCC건설,유사종목_2,서연이화
KCC건설,유사종목_3,경남스틸
KCC건설,유사종목_4,제일기획
KCC건설,유사종목_5,엘앤에프
KCC글라스,유사종목_1,방림
KCC글라스,유사종목_2,SG세계물산
KCC글라스,유사종목_3,HK이노엔
KCC글라스,유사종목_4,KCC
KCC글라스,유사종목_5,무림SP
KCI,유사종목_1,하이비젼시스템
KCI,유사종목_2,티에스이
KCI,유사종목_3,삼성전자
KCI,유사종목_4,진로발효
KCI,유사종목_5,영원무역홀딩스
KCTC,유사종목_1,해태제과식품
KCTC,유사종목_2,KTis
KCTC,유사종목_3,현대일렉트릭
KCTC,유사종목_4,동부건설
KCTC,유사종목_5,광동제약
KC그린홀딩스,유사종목_1,나노엔텍
KC그린홀딩스,유사종목_2,딜리
KC그린홀딩스,유사종목_3,아난티
KC그린홀딩스,유사종목_4,이노시스
KC그린홀딩스,유사종목_5,LS네트웍스
KC코트렐,유사종목_1,디와이씨
KC코트렐,유사종목_2,뉴프렉스
KC코트렐,유사종목_3,아이엠
KC코트렐,유사종목_4,삼기
KC코트렐,유사종목_5,영신금속
KD,유사종목_1,EDGC
KD,유사종목_2,유니슨
KD,유사종목_3,아이엘사이언스
KD,유사종목_4,대한그린파워
KD,유사종목_5,네오리진
KEC,유사종목_1,제이엠티
KEC,유사종목_2,디와이피엔에프
KEC,유사종목_3,한솔아이원스
KEC,유사종목_4,에이치케이
KEC,유사종목_5,백광산업
KG ETS,유사종목_1,애경케미칼
KG ETS,유사종목_2,동원산업
KG ETS,유사종목_3,탑엔지니어링
KG ETS,유사종목_4,교촌에프앤비
KG ETS,유사종목_5,에코프로비엠
KG모빌리언스,유사종목_1,PI첨단소재
KG모빌리언스,유사종목_2,진양제약
KG모빌리언스,유사종목_3,제노레이
KG모빌리언스,유사종목_4,와이엠티
KG모빌리언스,유사종목_5,한국전자홀딩스
KG스틸,유사종목_1,화승알앤에이
KG스틸,유사종목_2,에코플라스틱
KG스틸,유사종목_3,서진오토모티브
KG스틸,유사종목_4,한솔로지스틱스
KG스틸,유사종목_5,한주라이트메탈
KG이니시스,유사종목_1,지누스
KG이니시스,유사종목_2,나이스정보통신
KG이니시스,유사종목_3,에스피지
KG이니시스,유사종목_4,대한뉴팜
KG이니시스,유사종목_5,바이오스마트
KG케미칼,유사종목_1,뉴트리
KG케미칼,유사종목_2,한국쉘석유
KG케미칼,유사종목_3,크라운해태홀딩스
KG케미칼,유사종목_4,동부건설
KG케미칼,유사종목_5,윤성에프앤씨
KH 건설,유사종목_1,에이디엠코리아
KH 건설,유사종목_2,파나진
KH 건설,유사종목_3,밸로프
KH 건설,유사종목_4,예스티
KH 건설,유사종목_5,티사이언티픽
KH 전자,유사종목_1,퓨쳐켐
KH 전자,유사종목_2,현대바이오
KH 전자,유사종목_3,베노홀딩스
KH 전자,유사종목_4,네이처셀
KH 전자,유사종목_5,이화전기
KH 필룩스,유사종목_1,알엔투테크놀로지
KH 필룩스,유사종목_2,서울옥션
KH 필룩스,유사종목_3,나노엔텍
KH 필룩스,유사종목_4,아이씨에이치
KH 필룩스,유사종목_5,KC그린홀딩스
KH바텍,유사종목_1,사조씨푸드
KH바텍,유사종목_2,한독
KH바텍,유사종목_3,동국산업
KH바텍,유사종목_4,아모텍
